id,off_cites,off_fake,off_sfake,off_mism,on_cites,on_fake,on_sfake
qa_19_1hop_28,2,0,0,0,2,0,0
qa_92_1hop_149,3,0,0,0,3,0,0
qa_139_1hop_254,0,0,0,0,0,0,0
qa_172_1hop_308,1,0,0,0,1,0,0
qa_90_2hop_147,2,0,0,0,2,0,0
qa_192_2hop_334,2,0,0,0,2,0,0
qa_312_2hop_499,2,0,0,0,2,0,0
qa_387_2hop_603,4,0,0,0,4,0,0
qa_476_2hop_749,3,0,0,0,3,0,0
qa_621_2hop_937,2,0,0,0,2,0,0
qa_49_2hop_192_rand,3,0,0,0,3,0,0
qa_116_2hop_452_rand,0,0,0,0,0,0,0
qa_163_2hop_630_rand,1,0,0,0,1,0,0
qa_213_2hop_812_rand,4,2,2,0,4,2,2
qa_257_2hop_983_rand,1,0,0,0,1,0,0
qa_140_3hop_540_rand,1,0,0,0,1,0,0
qa_86_3hop_140,1,0,0,0,1,0,0
qa_352_3hop_554,1,0,0,0,1,0,0
qa_61_1hop_93,0,0,0,0,0,0,0
qa_94_1hop_155,2,0,0,0,2,0,0
qa_140_1hop_257,1,0,0,0,1,0,0
qa_174_1hop_312,2,0,0,0,2,0,0
qa_99_2hop_168,0,0,0,0,0,0,0
qa_324_2hop_515,0,0,0,0,0,0,0
qa_401_2hop_619,1,0,0,0,1,0,0
qa_488_2hop_766,0,0,0,0,0,0,0
qa_624_2hop_943,2,0,0,0,2,0,0
qa_59_2hop_232_rand,0,0,0,0,0,0,0
qa_119_2hop_464_rand,3,0,0,0,3,0,0
qa_171_2hop_658_rand,4,0,0,0,4,0,0
qa_215_2hop_820_rand,1,0,0,0,1,0,0
qa_260_2hop_995_rand,0,0,0,0,0,0,0
qa_279_3hop_1064_rand,0,0,0,0,0,0,0
qa_102_3hop_175,5,0,0,0,5,0,0
qa_422_3hop_653,0,0,0,0,0,0,0
qa_24_1hop_35,1,0,0,0,1,0,0
qa_62_1hop_94,2,0,0,0,2,0,0
qa_95_1hop_156,0,0,0,0,0,0,0
qa_141_1hop_258,0,0,0,0,0,0,0
qa_113_2hop_200,0,0,0,0,0,0,0
qa_330_2hop_525,2,0,0,0,2,0,0
qa_406_2hop_622,0,0,0,0,0,0,0
qa_503_2hop_790,3,0,0,0,3,0,0
qa_633_2hop_954,0,0,0,0,0,0,0
qa_62_2hop_244_rand,0,0,0,0,0,0,0
qa_124_2hop_480_rand,8,0,0,0,8,0,0
qa_174_2hop_666_rand,1,0,0,0,1,0,0
qa_216_2hop_824_rand,0,0,0,0,0,0,0
qa_82_3hop_235_rand2,3,0,0,0,3,0,0
qa_127_3hop_230,1,0,0,0,1,0,0
qa_430_3hop_669,0,0,0,0,0,0,0
qa_25_1hop_37,0,0,0,0,0,0,0
qa_64_1hop_95,1,0,0,0,1,0,0
qa_99_1hop_167,0,0,0,0,0,0,0
qa_145_1hop_267,1,0,0,0,1,0,0
qa_192_1hop_333,2,0,0,0,2,0,0
qa_115_2hop_204,4,0,0,0,4,0,0
qa_332_2hop_531,0,0,0,0,0,0,0
qa_522_2hop_806,5,0,0,0,5,0,0
qa_644_2hop_973,1,0,0,0,1,0,0
qa_63_2hop_248_rand,7,0,0,0,7,0,0
qa_129_2hop_497_rand,4,0,0,0,4,0,0
qa_180_2hop_689_rand,2,0,0,0,2,0,0
qa_226_2hop_860_rand,1,0,0,0,1,0,0
qa_286_2hop_1091_rand,0,0,0,0,0,0,0
qa_144_3hop_410_rand2,3,0,0,0,3,0,0
qa_131_3hop_237,0,0,0,0,0,0,0
qa_441_3hop_696,4,0,0,0,4,0,0
qa_26_1hop_39,2,0,0,0,2,0,0
qa_102_1hop_173,0,0,0,0,0,0,0
qa_3_2hop_6,2,0,0,0,2,0,0
qa_116_2hop_208,0,0,0,0,0,0,0
qa_202_2hop_350,1,0,0,0,1,0,0
qa_339_2hop_536,0,0,0,0,0,0,0
qa_409_2hop_628,1,0,0,0,1,0,0
qa_653_2hop_987,0,0,0,0,0,0,0
qa_130_2hop_501_rand,3,0,0,0,3,0,0
qa_185_2hop_707_rand,6,0,0,0,6,0,0
qa_233_2hop_888_rand,2,0,0,0,2,0,0
qa_41_3hop_66,4,0,0,0,4,0,0
qa_304_3hop_869_rand2,2,0,0,0,2,0,0
qa_148_3hop_273,1,0,0,0,1,0,0
qa_460_3hop_730,0,0,0,0,0,0,0
qa_68_1hop_100,0,0,0,0,0,0,0
qa_104_1hop_180,1,0,0,0,1,0,0
qa_150_1hop_277,0,0,0,0,0,0,0
qa_5_2hop_8,0,0,0,0,0,0,0
qa_122_2hop_219,2,0,0,0,2,0,0
qa_340_2hop_539,3,0,0,0,3,0,0
qa_421_2hop_650,1,0,0,0,1,0,0
qa_0_2hop_1_rand,1,0,0,0,1,0,0
qa_67_2hop_261_rand,1,0,0,0,1,0,0
qa_132_2hop_507_rand,1,0,0,0,1,0,0
qa_193_2hop_739_rand,2,0,0,0,2,0,0
qa_234_2hop_892_rand,0,0,0,0,0,0,0
qa_291_2hop_1111_rand,1,0,0,0,1,0,0
qa_104_3hop_182,2,0,0,0,2,0,0
qa_309_3hop_881_rand2,1,0,0,0,1,0,0
qa_168_3hop_301,3,2,2,0,3,0,0
qa_493_3hop_773,4,0,0,0,4,0,0
qa_32_1hop_49,1,0,0,0,1,0,0
qa_69_1hop_102,1,0,0,0,1,0,0
qa_105_1hop_183,0,0,0,0,0,0,0
qa_152_1hop_280,0,0,0,0,0,0,0
qa_17_2hop_25,3,0,0,0,3,0,0
qa_125_2hop_226,1,0,0,0,1,0,0
qa_233_2hop_388,0,0,0,0,0,0,0
qa_343_2hop_541,5,0,0,0,5,0,0
qa_423_2hop_656,2,0,0,0,2,0,0
qa_8_2hop_33_rand,2,0,0,0,2,0,0
qa_70_2hop_273_rand,0,0,0,0,0,0,0
qa_134_2hop_515_rand,0,0,0,0,0,0,0
qa_197_2hop_752_rand,1,0,0,0,1,0,0
qa_239_2hop_912_rand,1,0,0,0,1,0,0
qa_366_3hop_580,10,0,0,0,10,0,0
qa_32_3hop_51,2,0,0,0,2,0,0
qa_495_3hop_777,1,0,0,0,1,0,0
qa_1_1hop_2,1,0,0,0,1,0,0
qa_72_1hop_108,1,1,1,0,1,0,0
qa_116_1hop_207,1,0,0,0,1,0,0
qa_155_1hop_283,0,0,0,0,0,0,0
qa_249_2hop_406,0,0,0,0,0,0,0
qa_356_2hop_565,4,0,0,0,4,0,0
qa_430_2hop_668,1,0,0,0,1,0,0
qa_552_2hop_839,1,0,0,0,1,0,0
qa_23_2hop_93_rand,3,1,1,0,6,2,2
qa_80_2hop_313_rand,0,0,0,0,0,0,0
qa_139_2hop_535_rand,6,0,0,0,6,0,0
qa_242_2hop_923_rand,0,0,0,0,0,0,0
qa_33_3hop_52,0,0,0,0,0,0,0
qa_209_3hop_360,0,0,0,0,0,0,0
qa_498_3hop_782,2,0,0,0,2,0,0
